dataset,model,size,snapshot,seed,question,prediction,correct
arithmetic_explicit_small,pythia,large,100000,42,What is 15 / 17?,"Question: What is 15 / 17? 
Answer: 15 is the number of digits in the decimal part of the number. 17 is the number of digits",False
arithmetic_explicit_small,pythia,large,100000,42,How many times does 16 fit into 8?,"Question: How many times does 16 fit into 8? 
Answer: 16 times.
",False
arithmetic_explicit_small,pythia,large,100000,42,How many times does 6 fit into 13?,"Question: How many times does 6 fit into 13? 
Answer: 6 times 13 = 72
",False
arithmetic_explicit_small,pythia,large,100000,42,Divide 6 by 9.,"Question: Divide 6 by 9. 
Answer: 6/9 = 0.75
",False
arithmetic_explicit_small,pythia,large,100000,42,Divide 20 by 11.,"Question: Divide 20 by 11. 
Answer:
",False
arithmetic_explicit_small,pythia,large,100000,42,What is 16 / 14?,"Question: What is 16 / 14? 
Answer: 16 is the number of times the number of digits in the number is divisible by 14.
",False
arithmetic_explicit_small,pythia,large,100000,42,What is 7 / 7?,"Question: What is 7 / 7? 
Answer: 7 is the number of times the number 7 is repeated.
",False
arithmetic_explicit_small,pythia,large,100000,42,How many times does 19 fit into 10?,"Question: How many times does 19 fit into 10? 
Answer: 19 = 10 x 10
",False
arithmetic_explicit_small,pythia,large,100000,42,What is 7 / 18?,"Question: What is 7 / 18? 
Answer: 7 / 18 = 3.14
",False
arithmetic_explicit_small,pythia,large,100000,42,How many times does 2 fit into 0?,"Question: How many times does 2 fit into 0? 
Answer: 2 times.
",False
arithmetic_explicit_small,pythia,large,100000,42,What is 20 / 1?,"Question: What is 20 / 1? 
Answer: 20 / 1 = 20
",False
arithmetic_explicit_small,pythia,large,100000,42,Divide 2 by 1.,"Question: Divide 2 by 1. 
Answer: 2/1 = 1/2
",False
arithmetic_explicit_small,pythia,large,100000,42,What is 2 / 16?,"Question: What is 2 / 16? 
Answer: 2 / 16 = 0.5
",False
arithmetic_explicit_small,pythia,large,100000,42,What is 8 / 15?,"Question: What is 8 / 15? 
Answer: 8 / 15 = 0.5
",False
arithmetic_explicit_small,pythia,large,100000,42,How many times does 4 fit into 17?,"Question: How many times does 4 fit into 17? 
Answer: 4 times.
",False
arithmetic_explicit_small,pythia,large,100000,42,Divide 18 by 18.,"Question: Divide 18 by 18. 
Answer: 1/18
",False
