dataset,model,size,full model name,snapshot,seed,raw_prediction,answer_only,correct,template_id,text,operator,num1,num2,items,verb,answer,answer_str,number_format,id
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: Danny had ten candy bars, then he found five candy bars. How many candy bars danny have now? 
Answer: I don't know. I don't know. I don't know. I don't know.",I don't know. I don't know. I don't know. I don't know.,FALSE,1,"Question: Danny had ten candy bars, then he found five candy bars. How many candy bars danny have now? 
Answer:",+,10,5,candy bars,found,15,fifteen,textual,10
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: Danny had eight apples, then he received two apples. How many apples danny have now? 
Answer: I don't know. I don't know. I don't know. I don't know.",I don't know. I don't know. I don't know. I don't know.,FALSE,1,"Question: Danny had eight apples, then he received two apples. How many apples danny have now? 
Answer:",+,8,2,apples,received,10,ten,textual,11
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: Danny had nine candy bars, then he got five candy bars. How many candy bars danny have now? 
Answer: I'm not sure.
",I'm not sure.,FALSE,1,"Question: Danny had nine candy bars, then he got five candy bars. How many candy bars danny have now? 
Answer:",+,9,5,candy bars,got,14,fourteen,textual,12
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: Danny had six candy bars, then he found five candy bars. How many candy bars danny have now? 
Answer: I'm not sure.
",I'm not sure.,FALSE,1,"Question: Danny had six candy bars, then he found five candy bars. How many candy bars danny have now? 
Answer:",+,6,5,candy bars,found,11,eleven,textual,13
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: Danny had two apples, then he got one apples. How many apples danny have now? 
Answer: I don't know. I don't know. I don't know. I don't know.",I don't know. I don't know. I don't know. I don't know.,FALSE,1,"Question: Danny had two apples, then he got one apples. How many apples danny have now? 
Answer:",+,2,1,apples,got,3,three,textual,14
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: Danny had five apples, then he found one apples. How many apples danny have now? 
Answer: I don't know. I don't know. I don't know. I don't know.",I don't know. I don't know. I don't know. I don't know.,FALSE,1,"Question: Danny had five apples, then he found one apples. How many apples danny have now? 
Answer:",+,5,1,apples,found,6,six,textual,15
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: Danny had seven candy bars, then he received three candy bars. How many candy bars danny have now? 
Answer: I don't know. I don't know. I don't know. I don't know.",I don't know. I don't know. I don't know. I don't know.,FALSE,1,"Question: Danny had seven candy bars, then he received three candy bars. How many candy bars danny have now? 
Answer:",+,7,3,candy bars,received,10,ten,textual,16
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: Danny had six oranges, then he received two oranges. How many oranges danny have now? 
Answer: I don't know. I don't know. I don't know. I don't know.",I don't know. I don't know. I don't know. I don't know.,FALSE,1,"Question: Danny had six oranges, then he received two oranges. How many oranges danny have now? 
Answer:",+,6,2,oranges,received,8,eight,textual,17
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: Danny had four candy bars, then he got three candy bars. How many candy bars danny have now? 
Answer: I'm not sure.
",I'm not sure.,FALSE,1,"Question: Danny had four candy bars, then he got three candy bars. How many candy bars danny have now? 
Answer:",+,4,3,candy bars,got,7,seven,textual,18
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: Danny had two candy bars, then he got one candy bars. How many candy bars danny have now? 
Answer: I'm not sure.
",I'm not sure.,FALSE,1,"Question: Danny had two candy bars, then he got one candy bars. How many candy bars danny have now? 
Answer:",+,2,1,candy bars,got,3,three,textual,19
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: At first there are four motorcycles in the parking lot. How many motorcycles are there after two motorcycles arrive 
Answer:
",,FALSE,2,"Question: At first there are four motorcycles in the parking lot. How many motorcycles are there after two motorcycles arrive 
Answer:",+,4,2,motorcycles,arrive,6,six,textual,20
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: At first there are five vehicles in the parking lot. How many vehicles are there after five vehicles arrive 
Answer:
",,FALSE,2,"Question: At first there are five vehicles in the parking lot. How many vehicles are there after five vehicles arrive 
Answer:",+,5,5,vehicles,arrive,10,ten,textual,21
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: At first there are one vehicle in the parking lot. How many vehicles are there after one vehicle arrive 
Answer:
",,FALSE,2,"Question: At first there are one vehicle in the parking lot. How many vehicles are there after one vehicle arrive 
Answer:",+,1,1,vehicles,arrive,2,two,textual,22
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: At first there are seven trucks in the parking lot. How many trucks are there after three trucks arrive 
Answer:
",,FALSE,2,"Question: At first there are seven trucks in the parking lot. How many trucks are there after three trucks arrive 
Answer:",+,7,3,trucks,arrive,10,ten,textual,23
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: At first there are ten motorcycles in the parking lot. How many motorcycles are there after six motorcycles arrive 
Answer:
",,TRUE,2,"Question: At first there are ten motorcycles in the parking lot. How many motorcycles are there after six motorcycles arrive 
Answer:",+,10,6,motorcycles,arrive,16,,textual,24
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: At first there are seven trucks in the parking lot. How many trucks are there after six trucks arrive 
Answer:
",,FALSE,2,"Question: At first there are seven trucks in the parking lot. How many trucks are there after six trucks arrive 
Answer:",+,7,6,trucks,arrive,13,thirteen,textual,25
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: At first there are five vehicles in the parking lot. How many vehicles are there after two vehicles arrive 
Answer:
",,FALSE,2,"Question: At first there are five vehicles in the parking lot. How many vehicles are there after two vehicles arrive 
Answer:",+,5,2,vehicles,arrive,7,seven,textual,26
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: At first there are ten vehicles in the parking lot. How many vehicles are there after seven vehicles arrive 
Answer:
",,TRUE,2,"Question: At first there are ten vehicles in the parking lot. How many vehicles are there after seven vehicles arrive 
Answer:",+,10,7,vehicles,arrive,17,,textual,27
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: At first there are four cars in the parking lot. How many cars are there after two cars arrive 
Answer:
",,FALSE,2,"Question: At first there are four cars in the parking lot. How many cars are there after two cars arrive 
Answer:",+,4,2,cars,arrive,6,six,textual,28
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: At first there are one truck in the parking lot. How many trucks are there after one truck arrive 
Answer:
",,FALSE,2,"Question: At first there are one truck in the parking lot. How many trucks are there after one truck arrive 
Answer:",+,1,1,trucks,arrive,2,two,textual,29
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: At first there are seven motorcycles in the parking lot. How many motorcycles are there after five motorcycles arrive 
Answer:
",,FALSE,2,"Question: At first there are seven motorcycles in the parking lot. How many motorcycles are there after five motorcycles arrive 
Answer:",+,7,5,motorcycles,arrive,12,twelve,textual,30
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: At first there are seven vehicles in the parking lot. How many vehicles are there after five vehicles arrive 
Answer:
",,FALSE,2,"Question: At first there are seven vehicles in the parking lot. How many vehicles are there after five vehicles arrive 
Answer:",+,7,5,vehicles,arrive,12,twelve,textual,31
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: At first there are nine vehicles in the parking lot. How many vehicles are there after one vehicles arrive 
Answer:
",,FALSE,2,"Question: At first there are nine vehicles in the parking lot. How many vehicles are there after one vehicles arrive 
Answer:",+,9,1,vehicles,arrive,10,ten,textual,32
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: At first there are six motorcycles in the parking lot. How many motorcycles are there after one motorcycles arrive 
Answer:
",,FALSE,2,"Question: At first there are six motorcycles in the parking lot. How many motorcycles are there after one motorcycles arrive 
Answer:",+,6,1,motorcycles,arrive,7,seven,textual,33
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: At first there are three vehicles in the parking lot. How many vehicles are there after two vehicles arrive 
Answer:
",,FALSE,2,"Question: At first there are three vehicles in the parking lot. How many vehicles are there after two vehicles arrive 
Answer:",+,3,2,vehicles,arrive,5,five,textual,34
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: At first there are nine vehicles in the parking lot. How many vehicles are there after three vehicles arrive 
Answer:
",,FALSE,2,"Question: At first there are nine vehicles in the parking lot. How many vehicles are there after three vehicles arrive 
Answer:",+,9,3,vehicles,arrive,12,twelve,textual,35
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: At first there are nine vehicles in the parking lot. How many vehicles are there after four vehicles arrive 
Answer:
",,FALSE,2,"Question: At first there are nine vehicles in the parking lot. How many vehicles are there after four vehicles arrive 
Answer:",+,9,4,vehicles,arrive,13,thirteen,textual,36
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: At first there are three vehicles in the parking lot. How many vehicles are there after three vehicles arrive 
Answer:
",,FALSE,2,"Question: At first there are three vehicles in the parking lot. How many vehicles are there after three vehicles arrive 
Answer:",+,3,3,vehicles,arrive,6,six,textual,37
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: At first there are eight vehicles in the parking lot. How many vehicles are there after one vehicles arrive 
Answer:
",,FALSE,2,"Question: At first there are eight vehicles in the parking lot. How many vehicles are there after one vehicles arrive 
Answer:",+,8,1,vehicles,arrive,9,nine,textual,38
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: At first there are five trucks in the parking lot. How many trucks are there after two trucks arrive 
Answer:
",,FALSE,2,"Question: At first there are five trucks in the parking lot. How many trucks are there after two trucks arrive 
Answer:",+,5,2,trucks,arrive,7,seven,textual,39
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: You started the journey with ten dollar bills. You earned two dollar bills during your quest. How much dollar bills remains? 
Answer: I'm not sure. I'm not sure. I'm not sure. I'm not sure.",I'm not sure. I'm not sure. I'm not sure. I'm not sure.,FALSE,3,"Question: You started the journey with ten dollar bills. You earned two dollar bills during your quest. How much dollar bills remains? 
Answer:",+,10,2,dollar bills,earned,12,twelve,textual,40
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: You started the journey with eight gold coins. You retrieved two gold coins during your quest. How much gold coins remains? 
Answer: I'm not sure. I'm not sure. I'm not sure. I'm not sure.",I'm not sure. I'm not sure. I'm not sure. I'm not sure.,FALSE,3,"Question: You started the journey with eight gold coins. You retrieved two gold coins during your quest. How much gold coins remains? 
Answer:",+,8,2,gold coins,retrieved,10,ten,textual,41
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: You started the journey with three dollar bills. You acquired three dollar bills during your quest. How much dollar bills remains? 
Answer: I'm not sure. I'm not sure. I'm not sure. I'm not sure.",I'm not sure. I'm not sure. I'm not sure. I'm not sure.,FALSE,3,"Question: You started the journey with three dollar bills. You acquired three dollar bills during your quest. How much dollar bills remains? 
Answer:",+,3,3,dollar bills,acquired,6,six,textual,42
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: You started the journey with three dollar bills. You retrieved two dollar bills during your quest. How much dollar bills remains? 
Answer: I'm not sure. I'm not sure. I'm not sure. I'm not sure.",I'm not sure. I'm not sure. I'm not sure. I'm not sure.,FALSE,3,"Question: You started the journey with three dollar bills. You retrieved two dollar bills during your quest. How much dollar bills remains? 
Answer:",+,3,2,dollar bills,retrieved,5,five,textual,43
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: You started the journey with seven dollar bills. You retrieved two dollar bills during your quest. How much dollar bills remains? 
Answer: I'm not sure. I'm not sure. I'm not sure. I'm not sure.",I'm not sure. I'm not sure. I'm not sure. I'm not sure.,FALSE,3,"Question: You started the journey with seven dollar bills. You retrieved two dollar bills during your quest. How much dollar bills remains? 
Answer:",+,7,2,dollar bills,retrieved,9,nine,textual,44
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: You started the journey with four dollar bills. You acquired three dollar bills during your quest. How much dollar bills remains? 
Answer: I'm not sure. I'm not sure. I'm not sure. I'm not sure.",I'm not sure. I'm not sure. I'm not sure. I'm not sure.,FALSE,3,"Question: You started the journey with four dollar bills. You acquired three dollar bills during your quest. How much dollar bills remains? 
Answer:",+,4,3,dollar bills,acquired,7,seven,textual,45
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: You started the journey with six silver coins. You retrieved four silver coins during your quest. How much silver coins remains? 
Answer: I'm not sure. I'm not sure. I'm not sure. I'm not sure.",I'm not sure. I'm not sure. I'm not sure. I'm not sure.,FALSE,3,"Question: You started the journey with six silver coins. You retrieved four silver coins during your quest. How much silver coins remains? 
Answer:",+,6,4,silver coins,retrieved,10,ten,textual,46
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: You started the journey with two gold coins. You earned one gold coins during your quest. How much gold coins remains? 
Answer: I'm not sure. I'm not sure. I'm not sure. I'm not sure.",I'm not sure. I'm not sure. I'm not sure. I'm not sure.,FALSE,3,"Question: You started the journey with two gold coins. You earned one gold coins during your quest. How much gold coins remains? 
Answer:",+,2,1,gold coins,earned,3,three,textual,47
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: You started the journey with six dollar bills. You retrieved one dollar bills during your quest. How much dollar bills remains? 
Answer: I'm not sure. I'm not sure. I'm not sure. I'm not sure.",I'm not sure. I'm not sure. I'm not sure. I'm not sure.,FALSE,3,"Question: You started the journey with six dollar bills. You retrieved one dollar bills during your quest. How much dollar bills remains? 
Answer:",+,6,1,dollar bills,retrieved,7,seven,textual,48
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: You started the journey with four gold coins. You earned two gold coins during your quest. How much gold coins remains? 
Answer: I'm not sure. I'm not sure. I'm not sure. I'm not sure.",I'm not sure. I'm not sure. I'm not sure. I'm not sure.,FALSE,3,"Question: You started the journey with four gold coins. You earned two gold coins during your quest. How much gold coins remains? 
Answer:",+,4,2,gold coins,earned,6,six,textual,49
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: You started the journey with one gold coin. You earned one gold coins during your quest. How much gold coin remains? 
Answer: I'm not sure. I'm not sure. I'm not sure. I'm not sure.",I'm not sure. I'm not sure. I'm not sure. I'm not sure.,FALSE,3,"Question: You started the journey with one gold coin. You earned one gold coins during your quest. How much gold coin remains? 
Answer:",+,1,1,gold coins,earned,2,two,textual,50
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: You started the journey with six gold coins. You retrieved one gold coins during your quest. How much gold coins remains? 
Answer: I'm not sure. I'm not sure. I'm not sure. I'm not sure.",I'm not sure. I'm not sure. I'm not sure. I'm not sure.,FALSE,3,"Question: You started the journey with six gold coins. You retrieved one gold coins during your quest. How much gold coins remains? 
Answer:",+,6,1,gold coins,retrieved,7,seven,textual,51
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: You started the journey with five dollar bills. You earned four dollar bills during your quest. How much dollar bills remains? 
Answer: I'm not sure. I'm not sure. I'm not sure. I'm not sure.",I'm not sure. I'm not sure. I'm not sure. I'm not sure.,FALSE,3,"Question: You started the journey with five dollar bills. You earned four dollar bills during your quest. How much dollar bills remains? 
Answer:",+,5,4,dollar bills,earned,9,nine,textual,52
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: You started the journey with three dollar bills. You retrieved three dollar bills during your quest. How much dollar bills remains? 
Answer: I'm not sure. I'm not sure. I'm not sure. I'm not sure.",I'm not sure. I'm not sure. I'm not sure. I'm not sure.,FALSE,3,"Question: You started the journey with three dollar bills. You retrieved three dollar bills during your quest. How much dollar bills remains? 
Answer:",+,3,3,dollar bills,retrieved,6,six,textual,53
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: You started the journey with eight silver coins. You acquired four silver coins during your quest. How much silver coins remains? 
Answer: I'm not sure. I'm not sure. I'm not sure. I'm not sure.",I'm not sure. I'm not sure. I'm not sure. I'm not sure.,FALSE,3,"Question: You started the journey with eight silver coins. You acquired four silver coins during your quest. How much silver coins remains? 
Answer:",+,8,4,silver coins,acquired,12,twelve,textual,54
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: You started the journey with four dollar bills. You earned one dollar bills during your quest. How much dollar bills remains? 
Answer: I'm not sure. I'm not sure. I'm not sure. I'm not sure.",I'm not sure. I'm not sure. I'm not sure. I'm not sure.,FALSE,3,"Question: You started the journey with four dollar bills. You earned one dollar bills during your quest. How much dollar bills remains? 
Answer:",+,4,1,dollar bills,earned,5,five,textual,55
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: You started the journey with seven silver coins. You acquired three silver coins during your quest. How much silver coins remains? 
Answer: I'm not sure. I'm not sure. I'm not sure. I'm not sure.",I'm not sure. I'm not sure. I'm not sure. I'm not sure.,FALSE,3,"Question: You started the journey with seven silver coins. You acquired three silver coins during your quest. How much silver coins remains? 
Answer:",+,7,3,silver coins,acquired,10,ten,textual,56
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: You started the journey with eight dollar bills. You retrieved one dollar bills during your quest. How much dollar bills remains? 
Answer: I'm not sure. I'm not sure. I'm not sure. I'm not sure.",I'm not sure. I'm not sure. I'm not sure. I'm not sure.,FALSE,3,"Question: You started the journey with eight dollar bills. You retrieved one dollar bills during your quest. How much dollar bills remains? 
Answer:",+,8,1,dollar bills,retrieved,9,nine,textual,57
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: You started the journey with two dollar bills. You acquired one dollar bills during your quest. How much dollar bills remains? 
Answer: I'm not sure. I'm not sure. I'm not sure. I'm not sure.",I'm not sure. I'm not sure. I'm not sure. I'm not sure.,FALSE,3,"Question: You started the journey with two dollar bills. You acquired one dollar bills during your quest. How much dollar bills remains? 
Answer:",+,2,1,dollar bills,acquired,3,three,textual,58
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: You started the journey with six gold coins. You earned one gold coins during your quest. How much gold coins remains? 
Answer: I'm not sure. I'm not sure. I'm not sure. I'm not sure.",I'm not sure. I'm not sure. I'm not sure. I'm not sure.,FALSE,3,"Question: You started the journey with six gold coins. You earned one gold coins during your quest. How much gold coins remains? 
Answer:",+,6,1,gold coins,earned,7,seven,textual,59
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: I got to school with four pens. I bought four pens before lunch. How many do I have? 
Answer: I'm not sure. I'm not sure. I'm not sure. I'm not sure.",I'm not sure. I'm not sure. I'm not sure. I'm not sure.,FALSE,4,"Question: I got to school with four pens. I bought four pens before lunch. How many do I have? 
Answer:",+,4,4,pens,bought,8,eight,textual,60
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: I got to school with three pencils. I bought two pencils before lunch. How many do I have? 
Answer: I'm not sure.
",I'm not sure.,FALSE,4,"Question: I got to school with three pencils. I bought two pencils before lunch. How many do I have? 
Answer:",+,3,2,pencils,bought,5,five,textual,61
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: I got to school with two pencils. I bought two pencils before lunch. How many do I have? 
Answer: I'm not sure.
",I'm not sure.,FALSE,4,"Question: I got to school with two pencils. I bought two pencils before lunch. How many do I have? 
Answer:",+,2,2,pencils,bought,4,four,textual,62
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: I got to school with nine pencils. I bought one pencils before lunch. How many do I have? 
Answer: I'm not sure. I'm not sure. I'm not sure. I'm not sure.",I'm not sure. I'm not sure. I'm not sure. I'm not sure.,FALSE,4,"Question: I got to school with nine pencils. I bought one pencils before lunch. How many do I have? 
Answer:",+,9,1,pencils,bought,10,ten,textual,63
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: I got to school with three pens. I bought two pens before lunch. How many do I have? 
Answer: I'm not sure. I'm not sure. I'm not sure. I'm not sure.",I'm not sure. I'm not sure. I'm not sure. I'm not sure.,FALSE,4,"Question: I got to school with three pens. I bought two pens before lunch. How many do I have? 
Answer:",+,3,2,pens,bought,5,five,textual,64
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: I got to school with four pencils. I bought four pencils before lunch. How many do I have? 
Answer: I'm not sure.
",I'm not sure.,FALSE,4,"Question: I got to school with four pencils. I bought four pencils before lunch. How many do I have? 
Answer:",+,4,4,pencils,bought,8,eight,textual,65
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: I got to school with seven pens. I bought one pens before lunch. How many do I have? 
Answer: I'm not sure. I'm not sure. I'm not sure. I'm not sure.",I'm not sure. I'm not sure. I'm not sure. I'm not sure.,FALSE,4,"Question: I got to school with seven pens. I bought one pens before lunch. How many do I have? 
Answer:",+,7,1,pens,bought,8,eight,textual,66
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: I got to school with eight sharpies. I bought five sharpies before lunch. How many do I have? 
Answer: I'm not sure I'm not sure I'm not sure I'm not sure I'm not sure",I'm not sure I'm not sure I'm not sure I'm not sure I'm not sure,FALSE,4,"Question: I got to school with eight sharpies. I bought five sharpies before lunch. How many do I have? 
Answer:",+,8,5,sharpies,bought,13,thirteen,textual,67
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: I got to school with nine pencils. I bought eight pencils before lunch. How many do I have? 
Answer: I'm not sure. I'm not sure. I'm not sure. I'm not sure.",I'm not sure. I'm not sure. I'm not sure. I'm not sure.,TRUE,4,"Question: I got to school with nine pencils. I bought eight pencils before lunch. How many do I have? 
Answer:",+,9,8,pencils,bought,17,,textual,68
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: I got to school with five sharpies. I bought two sharpies before lunch. How many do I have? 
Answer: I'm not sure I'm not sure. I'm not sure I'm not sure. I'm",I'm not sure I'm not sure. I'm not sure I'm not sure. I'm,FALSE,4,"Question: I got to school with five sharpies. I bought two sharpies before lunch. How many do I have? 
Answer:",+,5,2,sharpies,bought,7,seven,textual,69
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: I got to school with nine pencils. I bought one pencils before lunch. How many do I have? 
Answer: I'm not sure. I'm not sure. I'm not sure. I'm not sure.",I'm not sure. I'm not sure. I'm not sure. I'm not sure.,FALSE,4,"Question: I got to school with nine pencils. I bought one pencils before lunch. How many do I have? 
Answer:",+,9,1,pencils,bought,10,ten,textual,70
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: I got to school with one pencil. I bought one pencils before lunch. How many do I have? 
Answer: I'm not sure. I'm not sure. I'm not sure. I'm not sure.",I'm not sure. I'm not sure. I'm not sure. I'm not sure.,FALSE,4,"Question: I got to school with one pencil. I bought one pencils before lunch. How many do I have? 
Answer:",+,1,1,pencils,bought,2,two,textual,71
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: I got to school with nine pencils. I bought two pencils before lunch. How many do I have? 
Answer: I'm not sure.
",I'm not sure.,FALSE,4,"Question: I got to school with nine pencils. I bought two pencils before lunch. How many do I have? 
Answer:",+,9,2,pencils,bought,11,eleven,textual,72
